Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
Krvný obr._DIFF_5pop: Stred.far.konc._HGB,APTT: APTT_ratio,1492,0.13,4.6826119973606146e-07,2.9689255508215557e-06
ALT_S,ELFO_S: alfa1_globulín,1235,0.129,5.440968444386935e-06,3.0918132850796246e-05
Moč chemický A: UBG,Močový sediment A: Leukocyty,469,0.129,0.0052503111727750535,0.017610996241098163
Chloridy_U (zbieraný,GF(S+U)-deti,48,0.129,0.3822913454170713,0.5633720522928912
ELFO_S: alfa2_globulín,Horčík-S,275,0.129,0.03227009202012105,0.08357598638558053
Bielkoviny_S,Osmolalita_S,49,-0.129,0.3778284465729126,0.5580228147477693
Kalcium-S,CEA _S,40,-0.129,0.42713546011733816,0.6082922165714972
Krvný obr._DIFF_5pop: Hematokrit_HCT,Krvný obr._DIFF_5pop: Stred.far.konc._HGB,5478,0.129,1.1711220340767875e-21,1.6986617083310117e-20
ABR_kapilára: PO2_B,ABR_kapilára: BE_B,102,-0.129,0.19727863776162086,0.351677047808166
Kálium-S,Bili-celkový_S,3852,-0.129,8.266826665850791e-16,9.31190599435285e-15
AST_S,Osmolalita_S,71,-0.129,0.2834807229960039,0.45628402158439646
GMT_S,Cholest-LDL_S,592,0.129,0.0016079341753999928,0.006138945803074612
Chloridy-S,C3_S,412,-0.129,0.008633183399424278,0.027098129514101992
GF(S)- MDRD,Moč chemicky _ úplne: Bielkoviny,643,-0.129,0.001050175177977764,0.004167247286503894
Glukóza_ S,ABR_artéria: BE_B,163,0.129,0.10020348120520203,0.2093366379798252
CK-celková_S,Amoniak_B,139,-0.129,0.12949980831463515,0.25558008146097455
ALP_S,Močový sediment A: Hyalínové valce,109,0.128,0.18495918243846599,0.3356314441678305
GF(S)- MDRD,GF-rozdiel,73,0.128,0.28193246269484357,0.45459820697978204
Bielkoviny_S,alfa1 AT_S,353,-0.128,0.01625046305742278,0.04696960500628159
TSH_S,Transferín_S,149,0.128,0.11916718832257775,0.23935161157550947
Krvný obr._DIFF_5pop: Eozinofily_#,Diff.rozpočet_ WBC: Lymfocyty,207,0.128,0.06517452315707706,0.14887348121713154
Prokalcitonín_S,Kalcium ionizované_S,61,-0.128,0.32469188683457517,0.5023788497467258
ALP_S,Moč chemický A: UBG,110,0.128,0.18401638972079032,0.3341865469237806
Meď_S,Beta2 mikroglob. _S,60,-0.128,0.33123551877557533,0.5101100732903596
Moč chemicky _ úplne: pH,HbA1c %,37,0.128,0.4488336329898073,0.6282088720828918
Kalcium-S,Močový sediment A: Kryštály,83,0.128,0.24844580478555325,0.41503449850187213
ELFO_S: gama_globulín,Amoniak_B,101,0.128,0.20279365064396085,0.3586715096161145
GF(S)- MDRD,Železo_S,793,-0.128,0.0003004953184204828,0.001329419747858863
Kreatinín_S,Chloridy-S,5745,-0.127,3.2197127073871144e-22,4.756938332565195e-21
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Trombocyty_PLT,5478,-0.127,2.7801893653478384e-21,4.0051118000124307e-20
Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Diff.rozpočet_ WBC: Neutrofilné segmenty,209,0.127,0.06749890788515513,0.15276827994100126
Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Diff.rozpočet_ WBC: Lymfocyty,210,-0.127,0.06646877314792932,0.15129887761330726
Urea_S,Železo_S,880,0.127,0.0001665582482914303,0.0007656617593310108
Bielkoviny_S,Laktát_P,39,-0.127,0.44055221532947597,0.6198955091889614
IgA_S,Horčík-S,277,-0.127,0.03504355213221779,0.08926691527505197
Imunoblot ANA: SS-A/Ro52kD,Imunoblot ANA: SS-B/La,415,0.127,0.009850307521376195,0.030407679146405717
Chloridy-S,C4_S,412,-0.127,0.010112083902915804,0.031140120715086816
Imunoblot ANA: Histones,Imunoblot ANA: Rib-PO,419,0.127,0.009516781000565466,0.029550395746135095
Kys. močová_S,Železo_S,223,0.127,0.05806094183077569,0.13616137447431448
AST_S,Močový sediment A: Hlienové vlákna,140,-0.127,0.13533835318964366,0.2645552485580942
anti- transglut. IgG,DGP IgA,79,0.127,0.26358952516925716,0.434167553383534
Bili-celkový_S,Močový sediment A: Spermie,93,-0.127,0.22389500826276593,0.3853711697353974
Imunoblot ANA: SS-B/La,SLA a LP,132,0.127,0.14638575743124035,0.28181476271535455
GF(S)- MDRD,Krvný obraz: Hemoglobín_HGB,49,0.127,0.3840094763593136,0.5649866149399535
Pomoc.TLy_CD4+,CCP,59,0.126,0.3400322368166021,0.5197577879975651
ABR_kapilára: HCO3_B -  stand.,ABR_kapilára: PO2_B,102,-0.126,0.20775731124940217,0.36423035492380484
ALT_S,Močový sediment: Valce,61,0.126,0.33426017484922455,0.513059891475507
Chloridy_U (zbieraný,FE_Fosforu,50,0.126,0.3837545229455994,0.5648552990864459
Kalcium-S,FE_Chloridov,50,0.126,0.38331026776452526,0.5644318178181411
ABR_artéria: HCO3_B - akt.,ABR_artéria: O2_B sat,298,-0.126,0.02908465517645141,0.07632169117554556
C3_S,Močový sediment A: Leukocyty,36,0.126,0.465513875462645,0.6406866661209237
AST_S,Solub.transf.recep_S,59,0.126,0.34268744932112816,0.5227277493030904
Glukóza_ S,Krvný obr._DIFF_5pop: Stredný objem_PLT,34,0.126,0.47896734534506236,0.652138779463605
Nátrium-S,anti TPO_S,130,-0.126,0.15446396582836147,0.29319079023232164
Glukóza_ S,ABR_artéria: HCO3_B -  stand.,163,0.126,0.10820672413018295,0.22189713311783482
Krvný obraz: Šírka dist.kriv._RBC,D_dimer INOV,49,0.126,0.3874967003184825,0.5686686387441255
GMT_S,NSE_S,30,0.126,0.5057103734933623,0.6739622409908392
p-ANCA,CCP,204,-0.126,0.07224451380492215,0.16104189340444577
APTT: APTT_ratio,Krvný obr._DIFF_RET: Hematokrit_HCT,104,-0.126,0.20388229803923336,0.3597956220675693
Krvný obr._DIFF_RET: Trombocyty_PLT,Krvný obr._DIFF_RET: Retikulocyty_#,299,0.126,0.0290343215361408,0.07622109285913327
Cholest-celk._S,Moč chemický A: pH,56,0.126,0.3565797330181233,0.5364441273969257
Imunoblot ANA: SS-A/Ro60kD,Imunoblot Liver Pro: LKM1,164,0.125,0.11091301379044001,0.2261107769566182
IgM_S,Prealbumín_S,157,-0.125,0.12026713679414248,0.24117964648143536
Cholest-celk._S,Močový sediment A: Baktérie,55,0.125,0.3628051116362274,0.5431750775382999
LD_S,Beta2 mikroglob. _S,189,0.125,0.08625158368581728,0.18644311369717498
Glukóza_ S,GF(S)-Cockroft,37,0.125,0.4615955730467266,0.6376422430019253
CRP_S,Bili-celkový_S,3675,0.125,2.4064794936866526e-14,2.498098729312305e-13
LD_S,ELFO_S: gama_globulín,803,-0.125,0.00039738880747716004,0.0017291856807550667
ELFO_S: alfa1_globulín,Močový sediment A: Hlienové vlákna,39,-0.125,0.4499956308712171,0.6290234383417932
Cholest-LDL_S,T4f_S,130,-0.125,0.1564706876614321,0.2963799280599517
Urea_S,Žlčové kyseliny,320,0.125,0.02511418994715227,0.06749172958301962
Imunoblot ANA: Jo-1,AMAM2,144,-0.125,0.13557013691752287,0.26492681631406423
Nátrium-S,Transferín_S,470,0.124,0.007209876956660922,0.02315690005342105
CK-celková_S,Močový sediment A: Erytrocyty,45,-0.124,0.4155017201590342,0.5972596689503232
ALT_S,Glukóza_ S,5731,0.124,3.291269392732626e-21,4.7306412787399036e-20
Quickov test: PT_%,Krvný obr._DIFF_RET: Stredná konc._HGB,106,0.124,0.206149673594576,0.3626886946403604
Albumín_S,Močový sediment A: Hlienové vlákna,107,0.124,0.20333905422308013,0.3592367710254906
p-ANCA,DGP IgA,75,0.124,0.28922605817988045,0.4630678295405193
Cholest-celk._S,CK-MB_S,51,-0.124,0.3841389452174352,0.5650462419463685
Krvný obr._DIFF_RET: Trombocyty_PLT,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,297,0.124,0.03237432662593737,0.08381177549086395
Kreatinín_S,CA 19-9_S,51,-0.124,0.38589400679994423,0.5669714674375683
LD_S,Cholinesteráza_S,79,-0.124,0.2781225397216209,0.45047273552552236
Krvný obr._DIFF_5pop: Lymfocyty_%,Trombínový čas,131,-0.124,0.15896856088021852,0.29985963992637416
AST_S,alfa1 AT_S,320,0.124,0.02697672130339757,0.07170841441024467
Bili-priamy_S,Močový sediment A: Baktérie,90,0.124,0.24310530819300333,0.4082601170896511
Imunoblot ANA: Scl-70,SLA a LP,135,0.124,0.1509014675632318,0.2877836885661337
Addisov sediment: Erytrocyty,GF(S)-Shull,36,0.124,0.47123826402645763,0.6454887217248998
Krvný obr._DIFF_5pop: Neutrofily_%,Quickov test: PT_%,1561,-0.124,8.902403720778292e-07,5.496304260262827e-06
Prokalcitonín_S,Moč chemický A: UBG,31,0.124,0.5053976703708005,0.6738282056381314
"ELFO_S: beta1,2_globulín",Močový sediment A: Baktérie,37,0.124,0.4633658675071992,0.6392537147173153
Kálium-S,Krvný obraz: Leukocyty_WBC,50,0.123,0.3938142008495339,0.5750176092845527
Feritin_S,C4_S,181,-0.123,0.09872170327362968,0.20692147175762762
Albumín_S,ASLO_S,1125,-0.123,3.619269140461573e-05,0.00018335898603949263
Amoniak_B,Meď_S,96,-0.123,0.23144530232674007,0.39430732252126033
Krvný obr._DIFF_5pop: Lymfocyty_%,Krvný obr._DIFF_5pop: Monocyty_%,5475,0.123,7.01267460192092e-20,9.748691848140833e-19
Prokalcitonín_S,Moč chemický A: Špec. hmotnosť,31,-0.123,0.5091844734500344,0.6768745902907586
Kalcium_U (zbieraný),Osmolalita_U (jednor,43,0.123,0.43365316941691423,0.613995673123614
Nátrium-S,Močový sediment: Leukocyty,478,-0.123,0.007207946792595887,0.02315690005342105
Horčík-S,GF(S)-Shull,48,0.123,0.40457704897971125,0.5868214593991108
Krvný obr._DIFF_5pop: Leukocyty_WBC,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,5474,0.123,6.998951859806019e-20,9.748691848140833e-19
CRP_S,LD_S,1494,0.123,1.8471528572180166e-06,1.1039475166421505e-05
Krvný obr._DIFF_RET: Stred. far.konc._HGB,Krvný obr._DIFF_RET: Stredný objem_PLT,274,0.123,0.041123768920196674,0.10213420795543765
Moč chemicky _ úplne: Bielkoviny,C3_S,165,-0.123,0.11677374576945078,0.2352881721767589
GMT_S,Krvný obr._DIFF_5pop: Eozinofily_#,30,0.123,0.5183553680672313,0.6839483080341278
Krvný obraz_RET: Erytrocyty_RBC,Krvný obraz_RET: Stredný objem_PLT,30,-0.123,0.5160183739817004,0.6818996777659508
Kalcium-S,LD_S,346,-0.122,0.023729863029439763,0.06428819608785963
Chloridy-S,FE_ Kália,50,-0.122,0.3988773877124342,0.5805425072479026
Glukóza_ S,Krvný obraz: Stredná konc._ HGB,41,-0.122,0.44723734656978253,0.626803190548826
Imunoblot ANA: SS-B/La,LC1,109,0.122,0.20533262128381052,0.36165182783921496
Krvný obr._DIFF_5pop: Lymfocyty_%,Krvný obr._DIFF_5pop: Stredný objem_PLT,5414,-0.122,1.5078967273989738e-19,2.073521192460104e-18
Quickov test: PT_INR,Krvný obr._DIFF_RET: Lymfocyty_%,105,-0.122,0.21397860479835568,0.37223638187959895
Cholest-HDL_S,Vitamin D total,37,-0.122,0.4701385349030107,0.6448165181862753
GF(S)- MDRD,Žlčové kyseliny,320,0.122,0.029268443686794626,0.076679187068883
Bili-priamy_S,Solub.transf.recep_S,30,-0.122,0.5195200384854535,0.685017529453487
ALT_S,Prealbumín_S,157,0.122,0.1284275592628514,0.25423240993079793
ELFO_S: alfa1_globulín,TSH_S,212,-0.122,0.07528556766184194,0.16641934981060608
LD_S,Moč chemický A: Špec. hmotnosť,31,-0.122,0.5143686152194522,0.680954180506714
Quickov test: PT_%,Krvný obr._DIFF_RET: Lymfocyty_%,105,0.122,0.21616760929417897,0.37491477527871114
Albumín_S,NSE_S,41,0.122,0.44905293288711956,0.6283173244547847
Kálium-S,"ELFO_S: beta1,2_globulín",599,0.122,0.002789273540530475,0.01004549592006242
Chloridy-S,Moč chemicky _ úplne: Ketolátky,607,-0.122,0.0026893177105208593,0.009724095284541273
Imunoblot ANA: Histones,Imunoblot ANA: SS-A/Ro60kD,419,0.122,0.012103737939579634,0.03635699627903046
IgA_S,Močový sediment: Erytrocyty,81,0.122,0.27712537139989757,0.44955453331430917
Kreatinín_S,Moč chemický A: UBG,156,0.122,0.1284678414340139,0.25423240993079793
ALP_S,Transferín_S,578,-0.121,0.0036466859635573717,0.012687511460284767
Bielkoviny_S,Močový sediment A: Hyalínové valce,99,-0.121,0.23440680736601927,0.39796537872696963
Kreatinín_S,Moč chemicky _ úplne: Bielkoviny,768,0.121,0.0008143668656457062,0.0033228469476218186
Krvný obraz_RET: Leukocyty_WBC,Krvný obraz_RET: Retikulocyty_%,34,0.121,0.49673056728328113,0.6660467061947415
Imunoblot ANA: CENP-B,CCP,197,-0.121,0.08919501418219193,0.19143781253360315
Močový sediment: Leukocyty,Amyláza_U (jednoráz),40,0.121,0.45517396011484523,0.6331771772738366
GMT_S,Krvný obr._DIFF_5pop: Eozinofily_%,30,0.121,0.5241602524829261,0.6882989012038093
Chloridy-S,Kalcium_U (zbieraný),51,0.121,0.39684724894292733,0.5786482838040894
Imunoblot Liver Pro: AMA-M2,Imunoblot Liver Pro: LC1,188,0.121,0.09680981119918802,0.2034511182760309
ELFO_S: alfa1_globulín,Cholest-LDL_S,140,-0.121,0.15285743425504564,0.2904885671020954
ELFO_S: alfa1_globulín,Cholest-HDL_S,244,-0.121,0.058284401028517716,0.13633313686825224
"ELFO_S: beta1,2_globulín",Ceruloplazmín,257,0.121,0.05247372871922596,0.1249028094991542
AST_S,Krvný obr._DIFF_5pop: Stred.far.konc._HGB,38,0.121,0.4682428585221562,0.6433276124981094
Fosfor_S,GF(S)-Cockroft,32,-0.121,0.5101039671388972,0.6771132489705991
Krvný obr._DIFF_RET: Hemoglobín_HGB,Krvný obr._DIFF_RET: Bazofily_%,299,0.121,0.036053148239914255,0.09147190525885593
Bili-celkový_S,Vitamin D total,70,0.121,0.32027413636545743,0.49784722004642795
Chloridy-S,Močový sediment: Leukocyty,476,-0.121,0.008194704472249521,0.02593968984165481
Osmolalita_S,FE_Horčíka,42,-0.121,0.44576976884514663,0.6252982528633698
Krvný obr._DIFF_RET: Monocyty_#,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,296,0.121,0.03774528368237533,0.09493103215919653
ELFO_S: alfa1_globulín,AFP_S,53,0.121,0.3866375554857381,0.5679325757227501
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Stred. far.konc._HGB,34,-0.121,0.49666899864582703,0.6660467061947415
ALP_S,NVK_S,125,-0.121,0.17847123728994257,0.3269157469347454
CRP_S,ASLO_S,1181,0.121,3.005972539488751e-05,0.00015463112180868046
Bili-priamy_S,Horčík-S,673,-0.12,0.0017882771364976942,0.006782641580996926
FE_ Kália,GF(S)-Shull,48,-0.12,0.41803528578161353,0.5992279265727867
Kálium-S,ELFO_S: alfa2_globulín,601,0.12,0.00309294848714671,0.010977375273096677
Urea_S,Krvný obraz: Hematokrit_HCT,49,-0.12,0.4121113535794584,0.5940637058387727
c-ANCA,LC1,69,0.12,0.3251384502854564,0.502824872118672
GF(S)- MDRD,Nátrium-S,5302,0.12,2.1357102404101497e-18,2.752163723595473e-17
Imunoblot ANA: SS-A/Ro52kD,Imunoblot ANA: PCNA,419,0.12,0.013928339973823757,0.04122348134734128
Krvný obr._DIFF_5pop: Eozinofily_#,Krvný obr._DIFF_5pop: Neutrofily_#,5473,-0.12,5.35208532870983e-19,7.203770782477447e-18
Reumat. faktor_S,Vitamin D total,276,-0.12,0.04640569829536233,0.11308607643668463
Bili-celkový_S,GF-rozdiel,32,0.12,0.5121238992452621,0.6792323866190293
Osmolalita_S,Kalcium_U (zbieraný),42,0.12,0.44752495213102883,0.6270679357936537
ANA,Imunoblot ANA: SS-B/La,337,0.12,0.027684938825335556,0.07322332071496952
CK-celková_S,TSH_S,269,0.12,0.049494353124650524,0.11924066188885278
IgM_S,Saturácia Trf,239,0.12,0.06330603447164572,0.14530638084033645
Chloridy-S,Quickov test: PT_%,44,-0.12,0.4360837028767356,0.616097884033789
ALP_S,Troponín T hs,133,0.12,0.16892513796843409,0.3143472177836736
GMT_S,Kálium-S,4524,-0.12,7.167806162091837e-16,8.131620097815972e-15
p-ANCA,Imunoblot Liver Pro: gp210,89,0.12,0.26211515559062576,0.43229947649720807
Bili-celkový_S,Ceruloplazmín,259,0.119,0.056574455553936746,0.13321627729212757
Addisov sediment: Leukocyty,GF(S)-Schwarz,36,0.119,0.4882266758313991,0.6597966542346051
IgA_S,ELFO_S: alfa2_globulín,1362,-0.119,1.0270541224314397e-05,5.654137642813636e-05
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Bazofilily_#,5477,0.119,7.256542286841861e-19,9.705434347011863e-18
Krvný obr._DIFF_5pop: Trombocyty_PLT,Krvný obr._DIFF_5pop: Bazofilily_#,5477,0.119,9.8663779305836e-19,1.3058562290207836e-17
Krvný obr._DIFF_5pop: Trombocyty_PLT,Krvný obr._DIFF_5pop: Eozinofily_#,5475,0.119,7.973726247445149e-19,1.0619933511534388e-17
Kálium-S,Solub.transf.recep_S,50,0.119,0.409410932945259,0.5912854343565929
Chloridy-S,Močový sediment: Erytrocyty,308,-0.119,0.037472257674703975,0.09435642211945872
Močový sediment: Erytrocyty,CK-MB_S,38,0.119,0.47816114351741856,0.6517394861115984
Urea_S,Moč chemicky _ úplne: Bielkoviny,763,0.119,0.0009602281548380903,0.003851218098286861
ALP_S,ASLO_S,1070,-0.119,9.996589660252234e-05,0.00047607446860256706
Imunoblot ANA: U1-sn RNP,Imunoblot ANA: PM-Scl,419,0.119,0.014589115619126812,0.04281046259968251
GF(S)- MDRD,C4_S,294,-0.119,0.042264524159169536,0.10455861447944083
CRP_S,Krvný obr._DIFF_5pop: Stred.far.konc._HGB,55,0.119,0.38766318037796144,0.5687815669610136
APTT: APTT_ratio,Krvný obr._DIFF_RET: Stredný objem_PLT,93,0.119,0.2568020601952302,0.42563618273422843
Kalcium-S,Saturácia Trf,113,-0.119,0.20794758489091977,0.3644388984309002
Krvný obr._DIFF_RET: Bazofily_#,Krvný obr._DIFF_RET: Neutrofily_#,298,-0.119,0.04066789213148234,0.10123946657966588
Kreatinín_S,FE_H2O,50,0.119,0.41141555490354664,0.5935319956737488
Kálium-S,Beta2 mikroglob. _S,131,0.119,0.1773436520987114,0.3251556195622261
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Krvný obr._DIFF_5pop: Eozinofily_#,5475,0.119,1.0750358377735191e-18,1.416950762940906e-17
Kálium-S,ABR_kapilára: O2_B sat,50,-0.119,0.40927055213953756,0.5912854343565929
Quickov test: PT_INR,Krvný obr._DIFF_RET: Bazofily_#,106,-0.119,0.22578146949026823,0.38767288531666866
Moč chemicky _ úplne: Bielkoviny,Cholest-celk._S,294,-0.119,0.04137321445952715,0.10263335863388365
Bielkoviny_S,Močový sediment A: Hlienové vlákna,100,0.119,0.2393840682877699,0.4040401131328911
C4_S,Močový sediment A: Kvasinky,35,0.119,0.49577147509225716,0.6653302289163793
Cholest-LDL_S,Vitamin D total,38,-0.119,0.4764552889423147,0.650220667953647
Kreatinín_S,ELFO_S: gama_globulín,1224,0.119,3.0234804423826242e-05,0.00015540591626583182
ELFO_S: alfa2_globulín,IGG4,62,-0.119,0.35831528364748355,0.5379833052183023
Osmolalita_U (jednor,FE_ Kalcia,42,-0.118,0.4560083735870373,0.6339214873957216
IgG_S,ELFO_S: alfa2_globulín,1390,-0.118,1.1024980797263167e-05,6.0276852844245187e-05
Bielkoviny_S,Amoniak_P,53,0.118,0.40188237138300165,0.5838460337059705
C4_S,anti TPO_S,81,-0.118,0.29558242489790504,0.46992871505915684
ASLO_S,Fosfor_S,117,-0.118,0.20386794795959426,0.3597956220675693
AST_S,NT-proBNP,186,0.118,0.10731265493382063,0.2205620500791208
GF(S)- MDRD,Krvný obr._DIFF_5pop: Erytrocyty_RBC,41,0.118,0.46353139825009904,0.6393432420935473
Imunoblot ANA: AMA-M2,Imunoblot ANA: CENP-B,419,0.118,0.015430660481901478,0.04506821088164269
GF(S)- MDRD,Krvný obraz: Šírka dist.kriv._RBC,49,0.118,0.42079051308991877,0.6018194798874952
GF(S)- MDRD,Moč chemicky _ úplne: pH,643,0.118,0.002673341240423175,0.009671831947840792
GF(S)- MDRD,Močový sediment A: Epitélie,128,-0.118,0.1854064563402456,0.33592907090708646
Krvný obr._DIFF_5pop: Leukocyty_WBC,Krvný obr._DIFF_5pop: Bazofilily_#,5477,0.118,2.152158836864662e-18,2.7677459697573278e-17
Nátrium-S,CK-celková_S,1101,0.118,8.489100188974968e-05,0.00040764363945999983
ASLO_S,NVK_S,48,-0.118,0.4235690717370212,0.6048402591021119
Krvný obr._DIFF_5pop: Leukocyty_WBC,APTT: APTT_sekundy,1492,-0.118,4.554015569260276e-06,2.6111607320857885e-05
Krvný obr._DIFF_5pop: Lymfocyty_#,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,5473,-0.118,1.758853768920839e-18,2.2850711644077896e-17
Imunoblot Liver Pro: AMA-M2,LKM1,139,-0.118,0.16756861541604978,0.31237189370251295
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Krvný obr._DIFF_5pop: Eozinofily_%,5475,0.118,1.4165965945125366e-18,1.8479749825335e-17
Chloridy-S,Krvný obr._DIFF_5pop: Hematokrit_HCT,52,-0.118,0.4058786287363022,0.5881335954878811
Krvný obr._DIFF_RET: Monocyty_%,Krvný obr._DIFF_RET: Stredný objem_PLT,274,0.118,0.05165330618535565,0.12331959947221513
Nátrium_U (zbieraný),FE_ Kalcia,50,-0.118,0.4131486914783409,0.5946383409519482
Amyláza_S,Cholest-celk._S,178,-0.118,0.11540460268054091,0.23304686612507197
Bili-celkový_S,"ELFO_S: beta1,2_globulín",497,-0.118,0.008427133345898279,0.02656951769056663
Cholest-celk._S,Interleukín -6,43,-0.118,0.4508088136827846,0.6294479985333474
IgG_S,T4f_S,128,0.118,0.18386874427524955,0.33412990056655045
ANA,Imunoblot ANA: AMA-M2,341,0.118,0.02926916868283351,0.076679187068883
Osmolalita_S,Horčík_U (zbieraný),42,0.118,0.4551100094075242,0.6331771772738366
Reumat. faktor_S,"ELFO_S: beta1,2_globulín",950,0.118,0.000278769047516669,0.001237609894390914
Amyláza_S,ASLO_S,57,-0.118,0.38068421717328116,0.5613943434776824
Urea_S,Ceruloplazmín,240,0.118,0.06905785895650958,0.155631279868998
Krvný obr._DIFF_5pop: Hematokrit_HCT,Krvný obr._DIFF_5pop: Neutrofily_#,5473,-0.118,1.7664317684336802e-18,2.2902328622161574e-17
Quickov test: PT_%,Krvný obr._DIFF_RET: Lymfocyty_#,105,0.117,0.2350017991921719,0.39886893675337115
Krvný obr._DIFF_RET: Monocyty_#,Krvný obr._DIFF_RET: Eozinofily_%,298,-0.117,0.043033588684453436,0.10613058575789314
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Krvný obr._DIFF_5pop: Bazofilily_#,5477,0.117,3.782466447946084e-18,4.815633135030355e-17
Krvný obr._DIFF_5pop: Neutrofily_#,APTT: APTT_ratio,1491,-0.117,5.695583099046613e-06,3.2220872153377675e-05
Bielkoviny_S,Reumat. faktor_S,1468,0.117,7.400288776696967e-06,4.131285992825644e-05
AST_S,T4f_S,310,0.117,0.039296776004423835,0.09840457940721506
ALP_S,Glukóza_ S,5031,0.117,7.036171195250694e-17,8.418228927199182e-16
Leukocyty,NKbb._ CD16+CD56+,354,-0.117,0.0283873424288359,0.07470786514100848
Krvný obr._DIFF_5pop: Stredná konc._HGB,Diff.rozpočet_ WBC: Eozinofily,158,0.117,0.14287304651278657,0.2762241218794075
Horčík-S,Prokalcitonín_S,196,0.117,0.10284269623439564,0.21316791164016818
